,ID,CompanyName,Ticker,Industry,StockExchange,Date,Open,High,Low,Close,AdjClose,Volume
0,MSFT2024-03-01,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-01,411.2699890136719,415.8699951171875,410.8800048828125,415.5,414.75189208984375,17800300.0
1,MSFT2024-03-04,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-04,413.44000244140625,417.3500061035156,412.32000732421875,414.9200134277344,414.1729736328125,17596000.0
2,MSFT2024-03-05,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-05,413.9599914550781,414.25,400.6400146484375,402.6499938964844,401.9250183105469,26919200.0
3,MSFT2024-03-06,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-06,402.9700012207031,405.1600036621094,398.3900146484375,402.0899963378906,401.36602783203125,22344100.0
4,MSFT2024-03-07,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-07,406.1199951171875,409.7799987792969,402.239990234375,409.1400146484375,408.40338134765625,18718500.0
5,MSFT2024-03-08,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-08,407.9599914550781,410.4200134277344,404.3299865722656,406.2200012207031,405.4886169433594,17971700.0
6,MSFT2024-03-11,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-11,403.760009765625,405.67999267578125,401.260009765625,404.5199890136719,403.7916564941406,16120800.0
7,MSFT2024-03-12,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-12,407.6199951171875,415.57000732421875,406.7900085449219,415.2799987792969,414.53228759765625,22457000.0
8,MSFT2024-03-13,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-13,418.1000061035156,418.17999267578125,411.45001220703125,415.1000061035156,414.3526306152344,17115900.0
9,MSFT2024-03-14,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-14,420.239990234375,427.82000732421875,417.989990234375,425.2200012207031,424.45440673828125,34157300.0
10,MSFT2024-03-15,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-15,419.2900085449219,422.6000061035156,412.7900085449219,416.4200134277344,415.6702575683594,45049800.0
11,MSFT2024-03-18,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-18,414.25,420.7300109863281,413.7799987792969,417.32000732421875,416.5686340332031,20106000.0
12,MSFT2024-03-19,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-19,417.8299865722656,421.6700134277344,415.54998779296875,421.4100036621094,420.6512756347656,19837900.0
13,MSFT2024-03-20,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-20,422.0,425.9599914550781,420.6600036621094,425.2300109863281,424.4643859863281,17860100.0
14,MSFT2024-03-21,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-21,429.8299865722656,430.82000732421875,427.1600036621094,429.3699951171875,428.596923828125,21296200.0
15,MSFT2024-03-22,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-22,429.70001220703125,429.8599853515625,426.07000732421875,428.739990234375,427.9680480957031,17636500.0
16,MSFT2024-03-25,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-25,425.239990234375,427.4100036621094,421.6099853515625,422.8599853515625,422.0986328125,18060500.0
17,MSFT2024-03-26,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-26,425.6099853515625,425.989990234375,421.3500061035156,421.6499938964844,420.89080810546875,16725600.0
18,MSFT2024-03-27,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-27,424.44000244140625,424.45001220703125,419.010009765625,421.42999267578125,420.67120361328125,16705000.0
19,MSFT2024-03-28,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-03-28,420.9599914550781,421.8699951171875,419.1199951171875,420.7200012207031,419.9624938964844,21871200.0
20,MSFT2024-04-01,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-01,423.95001220703125,427.8900146484375,422.2200012207031,424.57000732421875,423.8055725097656,16316000.0
21,MSFT2024-04-02,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-02,420.1099853515625,422.3800048828125,417.8399963378906,421.44000244140625,420.68121337890625,17912000.0
22,MSFT2024-04-03,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-03,419.7300109863281,423.260009765625,419.0899963378906,420.45001220703125,419.6929931640625,16502300.0
23,MSFT2024-04-04,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-04,424.989990234375,428.6700134277344,417.57000732421875,417.8800048828125,417.12762451171875,19370900.0
24,MSFT2024-04-05,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-05,420.010009765625,426.510009765625,418.32000732421875,425.5199890136719,424.75384521484375,16544300.0
25,MSFT2024-04-08,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-08,425.1700134277344,427.2799987792969,423.29998779296875,424.5899963378906,423.8255310058594,14272400.0
26,MSFT2024-04-09,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-09,426.44000244140625,427.739990234375,421.6199951171875,426.2799987792969,425.5124816894531,12512300.0
27,MSFT2024-04-10,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-10,422.19000244140625,424.0299987792969,419.70001220703125,423.260009765625,422.4979248046875,16216600.0
28,MSFT2024-04-11,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-11,425.82000732421875,429.3699951171875,422.3599853515625,427.92999267578125,427.1595153808594,17966400.0
29,MSFT2024-04-12,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-12,424.04998779296875,425.17999267578125,419.7699890136719,421.8999938964844,421.140380859375,19232100.0
30,MSFT2024-04-15,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-15,426.6000061035156,426.82000732421875,413.42999267578125,413.6400146484375,412.895263671875,20273500.0
31,MSFT2024-04-16,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-16,414.57000732421875,418.3999938964844,413.7300109863281,414.5799865722656,413.83355712890625,16765600.0
32,MSFT2024-04-17,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-17,417.25,418.8800048828125,410.3299865722656,411.8399963378906,411.0984802246094,15855500.0
33,MSFT2024-04-18,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-18,410.6300048828125,411.8900146484375,403.95001220703125,404.2699890136719,403.5421142578125,21029900.0
34,MSFT2024-04-19,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-19,404.0299987792969,405.4800109863281,397.7699890136719,399.1199951171875,398.4013977050781,30276500.0
35,MSFT2024-04-22,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-22,400.0799865722656,402.8500061035156,395.75,400.9599914550781,400.2380676269531,20286900.0
36,MSFT2024-04-23,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-23,404.239990234375,408.20001220703125,403.05999755859375,407.57000732421875,406.836181640625,15734500.0
37,MSFT2024-04-24,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-24,409.55999755859375,412.4700012207031,406.7799987792969,409.05999755859375,408.323486328125,15065300.0
38,MSFT2024-04-25,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-25,394.0299987792969,399.8900146484375,388.0299987792969,399.0400085449219,398.321533203125,40586500.0
39,MSFT2024-04-26,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-26,412.1700134277344,413.0,405.760009765625,406.32000732421875,405.58843994140625,29694700.0
40,MSFT2024-04-29,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-29,405.25,406.32000732421875,399.19000244140625,402.25,401.5257568359375,19582100.0
41,MSFT2024-04-30,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-04-30,401.489990234375,402.1600036621094,389.1700134277344,389.3299865722656,388.6289978027344,28781400.0
42,MSFT2024-05-01,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-01,392.6099853515625,401.7200012207031,390.30999755859375,394.94000244140625,394.2289123535156,23562500.0
43,MSFT2024-05-02,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-02,397.6600036621094,399.92999267578125,394.6499938964844,397.8399963378906,397.1236877441406,17709400.0
44,MSFT2024-05-03,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-03,402.2799987792969,407.1499938964844,401.8599853515625,406.6600036621094,405.9278259277344,17446700.0
45,MSFT2024-05-06,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-06,408.760009765625,413.92999267578125,406.3699951171875,413.5400085449219,412.7954406738281,16996600.0
46,MSFT2024-05-07,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-07,414.6600036621094,414.6700134277344,409.0899963378906,409.3399963378906,408.6029968261719,20018200.0
47,MSFT2024-05-08,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-08,408.1700134277344,412.2300109863281,406.7099914550781,410.5400085449219,409.80084228515625,11792300.0
48,MSFT2024-05-09,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-09,410.57000732421875,412.7200012207031,409.1000061035156,412.32000732421875,411.57763671875,14689700.0
49,MSFT2024-05-10,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-10,412.94000244140625,415.3800048828125,411.79998779296875,414.739990234375,413.9932556152344,13402300.0
50,MSFT2024-05-13,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-13,418.010009765625,418.3500061035156,410.82000732421875,413.7200012207031,412.97509765625,15440200.0
51,MSFT2024-05-14,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-14,412.0199890136719,417.489990234375,411.54998779296875,416.55999755859375,415.80999755859375,15109300.0
52,MSFT2024-05-15,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-15,417.8999938964844,423.80999755859375,417.2699890136719,423.0799865722656,423.0799865722656,22239500.0
53,MSFT2024-05-16,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-16,421.79998779296875,425.4200134277344,420.3500061035156,420.989990234375,420.989990234375,17530100.0
54,MSFT2024-05-17,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-17,422.5400085449219,422.9200134277344,418.0299987792969,420.2099914550781,420.2099914550781,15352200.0
55,MSFT2024-05-20,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-20,420.2099914550781,426.7699890136719,419.989990234375,425.3399963378906,425.3399963378906,16272100.0
56,MSFT2024-05-21,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-21,426.8299865722656,432.9700012207031,424.8500061035156,429.0400085449219,429.0400085449219,21453300.0
57,MSFT2024-05-22,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-22,430.0899963378906,432.4100036621094,427.1300048828125,430.5199890136719,430.5199890136719,18073700.0
58,MSFT2024-05-23,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-23,432.9700012207031,433.6000061035156,425.4200134277344,427.0,427.0,17211700.0
59,MSFT2024-05-24,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-24,427.19000244140625,431.05999755859375,424.4100036621094,430.1600036621094,430.1600036621094,11845800.0
60,MSFT2024-05-28,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-28,429.6300048828125,430.82000732421875,426.6000061035156,430.32000732421875,430.32000732421875,15718000.0
61,MSFT2024-05-29,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-29,425.69000244140625,430.94000244140625,425.69000244140625,429.1700134277344,429.1700134277344,15517100.0
62,MSFT2024-05-30,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-30,424.29998779296875,424.29998779296875,414.239990234375,414.6700134277344,414.6700134277344,28424800.0
63,MSFT2024-05-31,Microsoft Corp,MSFT,Information Technology,NASDAQ,2024-05-31,416.75,416.75,404.510009765625,415.1300048828125,415.1300048828125,47965200.0
64,AAPL2024-03-01,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,179.41665649414062,73488000.0
65,AAPL2024-03-04,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,174.86282348632812,81510100.0
66,AAPL2024-03-05,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,169.8895721435547,95132400.0
67,AAPL2024-03-06,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,168.8909149169922,68587700.0
68,AAPL2024-03-07,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,169.0,168.77108764648438,71765100.0
69,AAPL2024-03-08,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-08,169.0,173.6999969482422,168.94000244140625,170.72999572753906,170.4987335205078,76114600.0
70,AAPL2024-03-11,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.75,172.51600646972656,60139500.0
71,AAPL2024-03-12,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,172.99534606933594,59825400.0
72,AAPL2024-03-13,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125,170.89820861816406,52488700.0
73,AAPL2024-03-14,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-14,172.91000366210938,174.30999755859375,172.0500030517578,173.0,172.7656707763672,72913500.0
74,AAPL2024-03-15,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-15,171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875,172.3861846923828,121664700.0
75,AAPL2024-03-18,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-18,175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312,173.4846954345703,75604200.0
76,AAPL2024-03-19,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-19,174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547,175.84149169921875,55215200.0
77,AAPL2024-03-20,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-20,175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453,178.42799377441406,53423100.0
78,AAPL2024-03-21,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,171.13787841796875,106181300.0
79,AAPL2024-03-22,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,172.04664611816406,71106600.0
80,AAPL2024-03-25,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,170.61859130859375,54288300.0
81,AAPL2024-03-26,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.48013305664062,57388400.0
82,AAPL2024-03-27,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,173.0752410888672,60273300.0
83,AAPL2024-03-28,Apple Inc.,AAPL,Information Technology,NASDAQ,2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906,171.2477264404297,65672700.0
